,Title,Published_date,Views,Likes,Comments,Month
90,The Truth about Firecrackers | Mughal vs Chinese History | Air Pollution | Dhruv Rathee,2022-12-30,3735180,155514,10893,Dec
91,How Singapore became Asia’s No.1 Country? | Case Study | Dhruv Rathee,2022-12-28,10781192,316791,16685,Dec
92,Mystery of Area 51 | Are there really UFOs and Aliens? | Dhruv Rathee,2022-12-24,12758655,387195,11600,Dec
93,How Astrology Fools Millions of Indians! | Truth about Horoscopes | Dhruv Rathee,2022-12-19,9305622,448556,44501,Dec
94,How Digital Media DESTROYED Bollywood? | Business Model of Netflix / OTT | Dhruv Rathee,2022-12-16,3939657,151943,5749,Dec
95,How FIFA earns Money? | Qatar World Cup Business Model | Dhruv Rathee,2022-12-13,5354871,197067,6632,Dec
96,Dark Reality of Indian Education System | Dhruv Rathee,2022-12-09,7003824,451836,28472,Dec
97,India Pakistan 1971 War | Why it happened? | Bangladesh Liberation | Dhruv Rathee,2022-12-06,10021890,297920,25519,Dec
98,Mystery of Ancient Pyramids | How were they really built? | Dhruv Rathee,2022-12-02,12239264,388474,12691,Dec
99,Why is South India more Developed than North India? | Dhruv Rathee,2022-11-27,8313434,284961,32736,Nov
100,"The Dark Reality of Bread, Maida and Roti | Brown Bread vs White Bread | Dhruv Rathee",2022-11-22,8249210,298679,15549,Nov
101,Reality of Morbi Bridge Incident | Who's Responsible? | Dhruv Rathee,2022-11-15,3253328,217542,12347,Nov
102,What if Whole World runs on 100% Solar Energy? | Dhruv Rathee,2022-11-12,5848586,198790,5686,Nov
103,Reality of Elon Musk Twitter Takeover | Forced $44 Billion Deal | Dhruv Rathee,2022-11-08,5064967,205271,8031,Nov
104,How British Destroyed Maratha Empire? | Anglo Maratha Wars | Dhruv Rathee,2022-11-05,5854732,197208,13558,Nov
105,ISRO vs NASA | The History and Future of Space Race | Dhruv Rathee,2022-11-01,6113858,235935,8289,Nov
106,How Rishi Sunak defeated Boris Johnson and Liz Truss | UK Political Crisis | Dhruv Rathee,2022-10-27,6572887,274381,9472,Oct
107,Mystery of Solar Eclipse | Eating Food during Surya Grahan 2023 | Dhruv Rathee,2022-10-24,7198198,381947,19524,Oct
108,The Hidden Truth of Ramayana | Was Ravan Good? | Dhruv Rathee,2022-10-20,10247750,499633,42711,Oct
109,Black Holes Explained | They are not what you think they are! | Dhruv Rathee,2022-10-16,9342752,398348,14295,Oct
